ISI0,sp+AF8-rati0g,mood1+AF8-rati0g,Curre0c1,Is+AF8-Emergi0g+AF8-Market,Se0iorit,Callable,Da1s+AF8-to+AF8-Settle,Collateral+AF8-T1pe,Coupo0+AF8-Freque0c1,Coupo0+AF8-T1pe,I0dustr1+AF8-Group,I0dustr1+AF8-Sector,I0dustr1+AF8-SubGroup,Issuer+AF8-0ame,Ticker,Country+AF8-Of+AF8-Domicile,Risk+AF8-Stripe
0,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
1,0,,0,0,0,0,2,0,0,0,1,1,1,1,1,0,11
2,1,0,1,0,1,1,3,1,1,1,2,2,2,2,2,1,11
3,,1,0,0,0,0,2,2,0,0,3,3,3,3,3,2,6
4,,,0,0,0,0,2,0,0,0,4,4,4,4,4,2,6
5,,,0,0,0,0,2,0,0,0,4,4,4,4,4,2,6
6,,1,0,0,0,0,2,2,0,0,3,3,3,3,3,2,6
7,2,2,0,0,1,1,2,1,2,1,5,2,5,5,5,2,3
8,1,,0,0,2,1,2,3,0,1,5,2,5,5,5,2,4
9,1,,0,0,2,1,2,3,0,1,5,2,5,5,5,2,4
10,,,0,0,0,0,2,0,0,0,4,4,4,4,4,2,6
11,3,3,2,0,0,0,2,2,0,0,6,4,6,6,6,2,9
12,,1,0,0,0,0,2,2,0,0,3,3,3,3,3,2,6
13,3,3,0,0,0,0,2,2,0,0,6,4,6,6,6,2,5
14,3,3,0,0,0,0,2,2,0,0,6,4,6,6,6,2,5
15,0,,3,0,1,1,2,1,1,1,2,2,7,7,7,2,10
16,3,3,2,0,0,0,2,2,0,0,6,4,6,6,6,2,9
17,3,3,0,0,0,0,2,2,0,0,6,4,6,6,6,2,5
18,0,,0,0,2,1,2,3,0,1,2,2,7,7,7,2,10
19,4,4,4,0,0,0,2,2,0,0,7,5,8,8,8,3,7
20,4,5,4,0,0,0,2,2,0,0,7,5,8,8,8,3,7
21,0,2,0,0,2,1,2,3,0,1,5,2,9,9,9,4,3
22,0,,3,0,2,0,2,3,0,0,5,2,9,9,9,4,3
23,2,,0,0,1,1,2,1,0,1,5,2,9,10,9,4,3
24,2,,3,0,1,1,2,1,0,1,5,2,9,10,9,4,3
25,2,,3,0,1,1,2,1,0,1,5,2,9,10,9,4,3
26,2,,3,0,1,1,2,1,0,1,5,2,9,10,9,4,3
27,,,0,0,1,1,2,1,0,2,8,2,10,11,10,5,3
28,5,6,0,0,1,1,2,1,0,3,5,2,11,12,11,6,11
29,6,7,0,0,1,1,2,1,0,1,5,2,9,13,12,6,11
30,7,8,0,0,1,1,2,1,0,0,5,2,9,14,13,7,3
31,8,9,0,0,0,0,2,2,0,0,9,1,12,15,14,8,5
32,2,,0,0,1,1,2,2,0,0,5,2,9,16,12,6,3
33,5,0,0,0,0,0,2,0,0,0,3,3,13,17,15,5,6
34,,,0,0,0,1,2,0,0,0,10,6,14,18,16,5,7
35,0,10,0,0,1,1,2,1,0,1,4,4,4,19,17,5,8
36,0,10,0,0,1,1,2,1,0,1,4,4,4,19,17,5,8
37,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
38,,,0,0,0,0,2,0,0,0,1,1,15,21,19,5,6
39,,,0,0,0,1,2,0,0,0,11,1,16,22,20,5,11
40,10,3,0,0,1,1,2,1,0,1,2,2,2,23,21,5,10
41,1,12,0,0,0,0,2,0,0,0,12,4,17,24,22,5,5
42,2,13,0,0,0,1,2,0,0,0,0,0,0,25,23,5,6
43,2,13,0,0,0,0,2,0,0,0,0,0,0,25,23,5,6
44,0,10,0,0,1,1,2,1,0,1,4,4,4,19,17,5,8
45,11,14,0,0,0,1,2,2,1,0,13,1,18,26,24,5,1
46,2,7,0,0,0,0,5,2,0,0,8,2,10,27,25,6,0
47,2,7,0,0,0,0,5,2,0,0,8,2,10,27,25,6,0
48,10,3,0,0,2,1,2,3,0,1,2,2,2,23,21,5,10
49,3,3,0,0,0,1,2,0,0,0,14,7,19,28,26,5,7
50,10,,0,0,1,1,2,1,0,1,8,2,10,29,27,5,8
51,1,12,0,0,0,0,2,2,0,0,12,4,17,30,22,8,5
52,8,15,0,0,0,0,2,2,0,0,2,2,2,31,21,8,4
53,10,1,2,0,0,0,2,2,0,0,15,1,20,32,28,8,9
54,10,3,0,0,2,1,2,2,0,1,2,2,2,31,21,8,10
55,8,15,0,0,0,0,2,2,0,0,2,2,2,31,21,8,4
56,12,,0,0,0,0,2,2,0,0,16,2,21,33,29,8,6
57,,,0,0,0,0,2,2,0,0,17,6,22,34,30,5,7
58,1,12,0,0,0,0,2,0,0,0,12,4,17,24,22,5,5
59,,,0,0,0,0,2,0,0,0,1,1,15,21,19,5,6
60,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
61,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
62,,,0,0,0,0,2,0,0,0,14,7,19,28,26,5,7
63,10,3,0,0,2,1,2,3,0,1,2,2,2,23,21,5,10
64,,,0,0,0,0,2,0,0,0,1,1,15,21,19,5,6
65,,,0,0,1,1,2,1,0,1,5,2,23,35,31,5,3
66,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
67,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
