ISIN,SP_Rating,Moody_Rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Issue_Date,Collateral_Type,Coupon_Frequency,Coupon_Type,Maturity_Date,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile,Risk_Stripe
0,0,0,0,0,0,1,2,2013,0,0,0,2023,0,0,0,0,0,0,0
2,2,1,0,0,2,0,2,2013,2,0,1,2023,2,1,2,2,2,0,0
3,2,1,0,0,2,0,2,2013,2,0,1,2023,2,1,2,2,2,0,0
5,3,2,0,0,2,1,3,2011,2,0,1,2021,4,3,4,4,4,1,0
13,1,0,0,0,0,1,2,2013,0,2,0,2023,0,0,5,6,6,2,1
14,1,,0,0,0,0,2,2014,0,2,1,2024,0,0,5,6,6,2,1
18,4,3,0,0,4,0,2,2007,5,0,1,1937,0,0,0,8,7,3,0
19,1,4,0,0,4,1,2,2012,6,0,1,2019,5,4,6,9,8,4,0
20,5,5,0,0,2,0,2,2013,2,2,1,2018,6,5,7,10,9,5,2
21,5,6,0,0,2,0,2,2013,2,2,1,2017,7,4,8,11,10,4,0
22,6,6,0,0,2,0,2,2013,2,2,1,2018,7,4,8,12,11,4,1
23,5,6,0,0,2,0,2,2013,4,2,1,2018,8,2,9,13,12,6,0
26,7,8,0,0,4,0,2,2007,5,2,1,2017,9,6,10,15,14,7,0
28,8,8,0,0,4,0,2,2007,5,2,1,2017,0,0,11,16,15,7,0
43,6,,0,0,2,0,3,2013,4,0,1,2018,1,0,1,26,23,9,11
44,6,,0,0,2,0,3,2013,4,0,1,2023,1,0,1,26,23,9,11
61,6,6,0,0,2,0,3,2012,2,0,1,2017,14,5,20,42,39,4,2
62,6,6,0,0,2,0,3,2012,2,0,1,2022,14,5,20,42,39,4,2
63,6,6,0,0,2,0,3,2012,2,0,1,1942,14,5,20,42,39,4,2
64,6,6,0,0,2,0,3,2011,4,0,1,2021,14,5,20,43,39,4,2
67,2,9,0,0,0,0,3,1993,0,0,1,2023,0,0,13,45,21,5,3
68,2,9,0,0,0,0,3,1993,0,0,1,1993,0,0,13,45,21,4,3
69,10,11,0,0,2,1,3,2013,2,0,1,2020,15,1,22,46,41,4,0
70,6,6,0,0,2,0,3,2012,4,0,1,2017,0,0,13,47,42,5,3
71,6,6,0,0,2,0,3,2013,4,0,1,2018,0,0,13,47,42,5,3
72,6,6,0,0,2,0,3,2015,4,0,1,2020,0,0,13,47,42,5,3
73,6,6,0,0,2,0,3,2015,4,0,1,2018,0,0,13,47,42,5,3
74,11,12,0,0,6,1,3,2011,6,0,1,2018,16,5,23,48,43,4,0
75,10,9,0,0,2,0,3,2013,4,0,1,2017,17,1,24,49,44,4,9
76,10,9,0,0,2,0,3,2013,4,0,1,2022,17,1,24,49,44,4,9
77,10,9,0,0,2,0,3,2013,4,0,1,1942,17,1,24,49,44,4,9
78,10,9,0,0,2,0,3,2013,4,0,1,2023,17,1,24,49,44,4,9
79,10,9,0,0,2,0,3,2014,4,0,1,2021,17,1,24,49,44,4,9
