ISIN,SP_Rating,Moody_Rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Collateral_Type,Coupon_Frequency,Coupon_Type,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile,Risk_Stripe
8661,4,18,0,0,4,1,3,6,0,4,27,4,211,1404,1041,4,0
5587,2,2,0,0,2,0,3,4,0,1,49,9,128,953,711,4,8
11436,14,14,0,0,2,0,3,2,0,1,66,4,182,1809,1340,4,9
6963,2,15,0,0,0,0,3,0,0,1,0,0,143,1230,914,4,0
6975,2,7,0,0,0,0,3,0,0,1,0,0,120,1236,910,4,0
6777,4,18,0,0,6,1,3,6,0,1,60,5,144,1157,860,4,0
9930,4,18,0,0,4,0,3,6,0,1,20,7,29,1603,53,4,10
343,0,,0,0,2,0,3,4,0,1,10,0,61,143,118,4,13
6609,9,15,0,0,2,0,3,4,0,1,28,3,37,1112,829,1,4
3845,3,9,0,0,2,0,3,4,0,1,29,8,40,688,527,4,8
4413,0,7,0,0,2,0,3,4,0,1,20,7,29,757,142,4,5
3229,0,15,0,0,2,0,3,2,0,1,51,1,132,543,423,4,0
11555,16,4,0,0,2,1,3,4,0,1,1,0,44,1842,1369,4,3
4434,20,17,0,0,2,0,3,4,0,1,45,1,80,766,598,4,2
4664,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4,5
3364,10,11,0,0,2,0,3,4,0,1,0,0,107,577,446,4,7
665,6,5,0,0,4,0,3,6,0,1,20,7,29,208,172,4,5
11685,6,10,0,0,2,0,3,2,0,1,64,1,181,1875,664,4,2
5966,10,2,0,0,2,0,3,2,0,1,26,8,43,1001,740,4,8
74,11,12,0,0,6,1,3,6,0,1,16,5,23,48,43,4,0
11863,9,10,0,0,2,0,3,4,0,1,20,7,29,453,348,4,5
9518,13,16,0,0,2,0,3,2,0,1,17,1,73,1460,1080,4,8
6760,1,7,0,0,2,0,3,4,0,1,4,3,4,1056,782,4,4
901,6,6,0,0,2,0,3,2,0,1,45,1,125,276,212,4,2
8087,16,10,0,0,2,0,3,4,0,1,0,0,5,1354,1001,4,1
11966,16,10,0,0,2,0,3,4,0,1,0,0,5,1777,1320,4,1
7803,16,10,0,0,2,0,3,4,0,1,25,1,33,1339,987,4,2
9661,9,10,0,0,2,1,3,4,0,1,0,0,160,1507,1112,4,1
11582,6,6,0,0,2,0,3,4,0,1,17,1,53,1851,1377,4,6
201,5,6,0,0,2,0,3,4,0,1,34,1,50,87,79,4,2
9463,1,15,0,0,2,1,3,4,0,1,48,0,200,1443,1065,4,14
9502,19,18,0,0,2,1,3,2,0,4,4,3,17,1458,1078,4,15
1216,5,5,0,0,2,0,3,2,0,1,3,2,109,379,300,20,6
4667,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4,5
2874,0,7,0,0,2,0,3,4,0,1,3,2,3,424,330,1,6
10857,6,6,0,0,4,0,3,24,0,1,20,7,29,1664,1018,4,5
6384,6,6,0,0,4,0,3,17,0,1,20,7,29,730,509,4,5
1156,13,11,0,0,6,1,3,6,0,1,29,8,85,356,280,4,15
9829,14,14,0,0,2,1,3,2,0,1,29,8,154,1576,1162,17,8
7835,13,14,0,0,6,1,3,6,0,1,12,5,16,1349,996,8,13
9874,2,9,0,0,2,0,3,4,0,1,10,0,61,1587,96,4,7
9750,5,6,0,0,2,0,3,4,0,1,6,5,7,1544,1139,4,2
1185,16,4,0,0,2,0,3,2,0,1,1,0,112,367,290,8,0
5449,3,1,0,0,2,1,3,2,0,1,28,3,37,920,689,4,4
1155,13,11,0,0,6,1,3,6,0,1,29,8,85,356,280,4,15
1669,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4,1
11936,12,12,0,0,2,1,3,2,0,1,17,1,307,1938,1436,4,0
6755,3,11,0,0,2,1,3,4,0,1,48,0,114,1150,854,4,0
3150,9,4,0,0,2,0,3,2,0,1,19,5,26,506,394,4,0
1043,0,7,0,0,2,0,3,4,0,1,42,5,136,308,236,4,6
6575,0,7,0,0,2,0,3,2,0,1,28,3,37,1093,594,4,4
9407,10,14,0,0,2,1,3,4,0,1,26,8,43,1430,1057,4,0
4648,3,14,0,0,2,1,3,2,0,1,59,3,135,817,630,4,12
1118,13,14,0,0,3,1,3,3,0,1,3,2,3,344,270,1,0
9599,10,2,0,0,2,1,3,2,0,1,12,5,16,1482,1095,4,0
324,3,16,0,0,3,1,3,3,0,1,43,4,76,135,116,1,13
10120,13,11,0,0,2,1,3,4,0,1,10,0,280,1632,1207,4,0
9664,9,10,0,0,2,1,3,4,0,1,0,0,160,1507,1112,4,1
7042,6,5,0,0,4,0,3,17,0,1,20,7,29,1261,509,4,5
7288,13,14,0,0,2,1,3,2,0,1,18,5,220,1296,959,1,0
6447,16,10,0,0,2,1,3,4,0,1,4,3,4,1050,776,4,4
3852,3,9,0,0,2,0,3,4,0,1,29,8,40,688,527,4,8
11421,14,14,0,0,2,1,3,2,0,1,39,8,274,1803,1336,4,7
662,12,14,0,0,2,0,3,4,0,1,20,7,29,207,173,4,10
6879,16,10,0,0,2,0,3,4,0,1,48,0,185,1205,897,4,0
6818,13,11,0,0,2,1,3,2,0,1,11,3,18,1175,875,4,0
6944,3,2,0,0,2,1,3,2,0,1,35,4,208,1221,907,4,0
1089,6,10,0,0,4,1,3,17,0,1,20,7,29,330,258,4,5
4757,0,7,0,0,2,1,3,2,0,1,28,3,37,859,594,4,4
2928,6,5,0,0,2,1,3,4,0,1,0,0,120,435,295,4,1
5588,2,2,0,0,2,0,3,4,0,1,49,9,128,953,711,4,8
9571,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4,2
12032,16,10,0,0,2,0,3,4,3,0,0,0,5,1777,1320,4,1
7800,16,10,0,0,2,1,3,4,0,1,25,1,33,1339,987,4,2
6911,10,2,0,0,2,1,3,4,0,1,1,0,1,1213,901,4,0
11881,11,14,0,0,2,1,3,4,0,1,30,2,244,1918,1423,1,9
6341,6,10,0,0,2,0,3,4,0,1,8,2,155,1028,759,4,4
11210,2,1,0,0,2,0,3,2,0,1,35,4,187,1714,1271,4,12
4731,0,7,0,0,2,1,3,2,0,1,4,3,4,849,642,4,4
4729,10,9,0,0,6,0,3,14,3,1,43,4,76,848,641,4,13
9830,14,14,0,0,2,1,3,2,0,1,29,8,154,1576,1162,17,8
13421,16,10,0,0,2,0,3,2,0,1,26,8,38,2015,69,4,6
11632,14,11,0,0,6,1,3,6,0,1,26,8,296,1861,1341,4,0
346,0,,0,0,2,1,3,4,0,1,10,0,61,143,118,4,13
6030,1,15,0,0,2,0,3,4,0,1,8,2,155,1017,749,4,4
1092,6,6,0,0,2,0,3,4,0,1,4,3,146,332,260,4,4
2876,0,7,0,0,2,0,3,4,0,1,3,2,3,424,330,1,6
11737,10,2,0,0,2,0,3,2,0,1,32,4,46,1885,1402,4,9
11453,12,12,0,0,2,1,3,2,0,1,23,1,64,1816,1347,4,10
7049,0,15,0,0,2,1,3,4,0,1,2,1,252,1263,931,4,0
9478,9,4,0,0,2,0,3,4,0,1,45,1,125,1452,1073,5,2
3610,0,7,0,0,2,0,3,2,0,1,4,3,4,632,492,1,4
444,0,15,0,0,2,1,3,2,0,1,48,0,87,164,138,4,14
9505,19,18,0,0,2,1,3,2,0,4,4,3,17,1458,1078,4,15
3953,13,2,0,0,2,1,3,2,0,1,17,1,213,726,569,5,0
10172,11,14,0,0,2,1,3,2,0,1,4,3,4,1645,1218,4,0
1170,16,6,0,0,4,0,3,17,0,1,20,7,29,361,285,4,0
117,11,12,0,0,2,1,3,2,0,1,24,2,32,62,56,4,9
8574,14,11,0,0,2,1,3,2,0,1,34,1,50,1379,1025,3,10
1046,0,7,0,0,2,1,3,4,0,1,42,5,136,308,236,4,6
5530,6,6,0,0,2,0,3,4,0,1,35,4,231,945,707,4,2
6842,14,11,0,0,2,1,3,2,0,1,3,2,109,1182,882,20,12
6007,0,7,0,0,2,1,3,2,0,1,30,2,41,1010,746,1,2
5446,3,1,0,0,2,1,3,2,0,1,28,3,37,920,689,4,4
8573,14,11,0,0,2,1,3,2,0,1,34,1,50,1379,1025,3,10
10853,5,,0,0,2,0,3,2,0,1,23,1,64,1663,1230,4,0
6687,10,14,0,0,2,1,3,2,0,1,38,9,129,1136,848,4,8
4433,20,17,0,0,2,0,3,4,0,1,45,1,80,766,598,4,2
6756,3,11,0,0,2,1,3,4,0,1,48,0,114,1150,854,4,0
9572,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4,2
4651,3,14,0,0,2,1,3,2,0,1,59,3,135,817,630,4,12
1259,5,3,0,0,4,0,3,14,0,1,12,5,21,386,303,4,0
11684,6,10,0,0,2,1,3,2,0,1,64,1,181,1875,664,4,2
5398,3,11,0,0,2,1,3,2,0,1,28,3,37,899,672,4,0
11673,13,16,0,0,2,1,3,4,0,1,26,8,43,1873,1393,4,8
5958,1,15,0,0,2,0,3,2,0,1,26,8,221,1000,739,4,6
4616,2,2,0,0,2,1,3,2,0,1,4,3,4,806,625,4,10
5430,0,15,0,0,2,1,3,4,0,1,8,2,82,912,682,4,0
7282,10,2,0,0,2,1,3,2,0,1,48,0,114,1293,956,4,0
9480,9,4,0,0,2,0,3,4,0,1,45,1,125,1452,1073,5,2
1164,14,11,0,0,2,1,3,2,0,1,17,1,73,360,284,4,8
1251,5,3,0,0,4,0,3,14,0,1,12,5,21,383,303,4,0
3251,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4,2
7804,16,10,0,0,2,1,3,4,0,1,25,1,33,1339,987,4,2
6514,16,4,0,0,2,0,3,4,0,1,6,5,7,1069,647,4,2
11583,6,6,0,0,2,0,3,4,0,1,17,1,53,1851,1377,4,6
10886,10,16,0,0,2,1,3,2,0,1,13,0,105,1675,1241,4,0
10130,0,15,0,0,2,1,3,4,0,1,20,7,29,1634,142,4,5
5915,1,15,0,0,2,1,3,2,0,1,26,8,43,996,736,4,6
6021,10,2,0,0,2,0,3,4,0,1,17,1,213,1013,747,4,6
1670,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4,1
3255,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4,2
1047,0,7,0,0,2,1,3,4,0,1,42,5,136,308,236,4,6
4424,0,15,0,0,2,1,3,4,0,1,35,4,187,761,593,4,0
3854,3,9,0,0,2,1,3,4,0,1,29,8,40,688,527,4,8
6448,16,10,0,0,2,1,3,4,0,1,4,3,4,1050,776,4,4
6770,1,15,0,0,2,1,3,2,0,1,48,0,153,1154,302,4,14
6481,0,15,0,0,2,1,3,2,0,1,48,0,114,1057,783,4,14
408,16,5,0,0,2,1,3,4,0,1,20,7,29,152,127,4,5
4496,1,15,0,0,2,1,3,2,0,1,48,0,87,782,610,4,0
5640,0,1,0,0,0,0,3,0,0,1,0,0,5,978,722,6,3
6680,16,10,0,0,2,0,3,4,0,1,4,3,4,1050,776,4,4
6936,14,11,0,0,2,0,3,4,0,1,10,0,229,862,650,4,0
6754,16,6,0,0,2,0,3,4,0,1,10,0,75,1149,288,4,0
448,2,18,0,0,4,0,3,3,0,1,29,8,40,165,139,4,8
6885,9,15,0,0,2,0,3,2,0,1,35,4,180,1207,898,4,2
245,16,4,0,0,1,0,3,12,0,1,1,0,54,102,88,4,3
10874,9,15,0,0,2,0,3,4,0,1,2,1,156,1670,1236,4,2
11033,1,15,0,0,2,0,3,2,0,1,2,1,74,1709,1266,4,2
11976,16,10,0,0,2,0,3,4,0,1,0,0,5,1777,1320,4,1
4686,0,15,0,0,2,0,3,2,0,1,20,7,29,825,310,4,5
10911,16,4,0,0,2,0,3,4,0,1,22,7,30,1685,388,4,5
13375,16,10,0,0,0,0,3,0,0,1,1,0,12,2008,1483,4,3
4655,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4,5
7017,6,3,0,0,4,0,3,17,0,1,20,7,29,1260,885,4,5
6700,16,10,0,0,4,1,3,17,0,1,20,7,29,1141,850,4,5
10912,16,4,0,0,2,0,3,4,0,1,22,7,30,1685,388,4,5
3677,6,3,0,0,4,0,3,17,0,1,20,7,29,654,509,4,5
6449,16,10,0,0,2,1,3,4,0,1,4,3,4,1050,776,4,4
7733,0,1,0,0,2,0,3,4,0,1,7,4,8,1325,977,4,1
3365,10,11,0,0,2,0,3,4,0,1,0,0,107,577,446,4,7
481,16,10,0,0,2,0,3,4,0,1,1,0,12,184,154,4,3
11860,9,10,0,0,2,0,3,4,0,1,20,7,29,453,348,4,5
13447,6,6,0,0,4,0,3,24,0,1,20,7,29,2029,348,4,5
903,6,6,0,0,2,0,3,2,0,1,45,1,125,276,212,4,2
958,1,4,0,0,2,0,3,4,0,1,20,7,29,287,50,4,5
960,4,4,0,0,2,0,3,16,0,1,20,7,29,287,50,4,0
4665,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4,5
961,1,4,0,0,2,0,3,4,0,1,20,7,29,287,50,4,5
3678,6,3,0,0,4,0,3,17,0,1,20,7,29,654,509,4,5
202,5,6,0,0,2,0,3,4,0,1,34,1,50,87,79,4,2
6349,6,17,0,0,4,0,3,17,0,1,20,7,29,1029,509,4,5
7027,6,3,0,0,4,0,3,17,0,1,20,7,29,1260,885,4,5
7043,6,5,0,0,4,0,3,17,0,1,20,7,29,1261,509,4,5
9570,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4,2
10913,6,6,0,0,2,0,3,4,0,1,22,7,30,1686,388,4,5
13423,16,10,0,0,2,0,3,2,0,1,26,8,38,2015,69,4,6
2875,0,7,0,0,2,0,3,4,0,1,3,2,3,424,330,1,6
3611,0,7,0,0,2,0,3,2,0,1,4,3,4,632,492,1,4
1035,16,6,0,0,2,1,3,4,0,1,20,7,29,306,234,4,5
10854,5,,0,0,2,0,3,2,0,1,23,1,64,1663,1230,4,0
9573,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4,2
5474,6,17,0,0,4,1,3,24,0,1,20,7,29,932,695,4,5
11683,6,10,0,0,2,1,3,2,0,1,64,1,181,1875,664,4,2
5959,1,15,0,0,2,0,3,2,0,1,26,8,221,1000,739,4,6
3252,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4,2
7805,16,10,0,0,2,1,3,4,0,1,25,1,33,1339,987,4,2
3833,6,5,0,0,4,1,3,24,0,1,20,7,29,680,530,4,5
5450,3,1,0,0,2,1,3,2,0,1,28,3,37,920,689,4,4
1671,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4,1
3256,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4,2
7246,17,,0,0,4,0,3,3,0,1,23,1,31,1286,950,4,0
1186,16,4,0,0,2,0,3,2,0,1,1,0,112,367,290,8,0
9580,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4,2
10134,5,5,0,0,4,1,3,3,3,0,27,4,281,1636,1209,4,0
11433,11,14,0,0,1,0,3,1,0,1,1,0,102,1808,1339,4,15
836,6,4,0,0,2,0,3,4,0,1,25,1,33,264,202,4,2
3164,5,6,0,0,2,0,3,4,0,1,34,1,50,512,400,4,2
7358,7,5,0,0,2,0,3,2,1,0,10,0,75,1321,942,4,1
10922,6,6,0,0,2,0,3,4,0,1,15,1,103,1689,1248,4,2
4445,20,18,0,0,2,0,3,4,0,1,45,1,80,767,598,4,2
5492,16,10,0,0,2,0,3,2,0,1,7,4,8,936,699,4,1
5902,0,7,0,0,2,0,3,4,0,1,35,4,180,995,735,4,0
13090,3,11,0,0,4,1,3,6,0,1,27,4,241,1968,1455,4,0
9301,6,6,0,0,2,1,3,4,0,1,11,3,18,1410,756,4,4
9644,9,7,0,0,2,0,3,4,0,1,23,1,64,1500,1109,4,3
1143,1,4,0,0,2,0,3,4,0,1,35,4,60,353,278,4,2
3156,2,1,0,0,2,1,3,4,0,1,31,4,45,510,398,4,0
7797,11,14,0,0,4,1,3,6,0,1,27,4,255,1337,985,4,0
7798,11,14,0,0,4,1,3,6,0,1,27,4,255,1337,985,4,0
3785,6,6,0,0,8,0,3,9,0,1,17,1,137,668,520,4,0
9839,15,,0,0,2,1,3,4,0,3,42,5,92,1582,1168,4,0
13450,6,6,0,0,4,0,3,24,0,1,20,7,29,2029,348,4,5
7066,0,7,0,0,2,0,3,4,0,1,7,4,8,1267,934,4,1
3674,11,12,0,0,4,1,3,6,0,1,45,1,125,653,508,4,0
3880,4,18,0,0,6,1,3,6,0,4,5,4,52,698,544,4,9
3027,2,4,0,0,2,0,3,4,0,1,35,4,172,459,352,4,12
234,11,14,0,0,6,1,3,6,0,1,5,4,52,98,86,4,9
1971,5,5,0,0,2,1,3,4,0,1,0,0,161,407,318,4,1
5489,16,10,0,0,2,0,3,2,0,1,7,4,8,936,699,4,1
11074,14,11,0,0,6,1,3,6,0,1,6,5,7,1719,1275,4,0
11461,13,18,0,0,3,1,3,3,0,1,66,4,182,1821,814,4,0
