ISIN,SP_Rating,Moody_Rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Collateral_Type,Coupon_Frequency,Coupon_Type,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile
8661,4,18,0,0,4,1,3,6,0,4,27,4,211,1404,1041,4
5587,2,2,0,0,2,0,3,4,0,1,49,9,128,953,711,4
11436,14,14,0,0,2,0,3,2,0,1,66,4,182,1809,1340,4
6963,2,15,0,0,0,0,3,0,0,1,0,0,143,1230,914,4
6975,2,7,0,0,0,0,3,0,0,1,0,0,120,1236,910,4
6777,4,18,0,0,6,1,3,6,0,1,60,5,144,1157,860,4
9930,4,18,0,0,4,0,3,6,0,1,20,7,29,1603,53,4
343,0,,0,0,2,0,3,4,0,1,10,0,61,143,118,4
6609,9,15,0,0,2,0,3,4,0,1,28,3,37,1112,829,1
3845,3,9,0,0,2,0,3,4,0,1,29,8,40,688,527,4
4413,0,7,0,0,2,0,3,4,0,1,20,7,29,757,142,4
3229,0,15,0,0,2,0,3,2,0,1,51,1,132,543,423,4
11555,16,4,0,0,2,1,3,4,0,1,1,0,44,1842,1369,4
4434,20,17,0,0,2,0,3,4,0,1,45,1,80,766,598,4
4664,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4
3364,10,11,0,0,2,0,3,4,0,1,0,0,107,577,446,4
665,6,5,0,0,4,0,3,6,0,1,20,7,29,208,172,4
11685,6,10,0,0,2,0,3,2,0,1,64,1,181,1875,664,4
5966,10,2,0,0,2,0,3,2,0,1,26,8,43,1001,740,4
74,11,12,0,0,6,1,3,6,0,1,16,5,23,48,43,4
11863,9,10,0,0,2,0,3,4,0,1,20,7,29,453,348,4
9518,13,16,0,0,2,0,3,2,0,1,17,1,73,1460,1080,4
6760,1,7,0,0,2,0,3,4,0,1,4,3,4,1056,782,4
901,6,6,0,0,2,0,3,2,0,1,45,1,125,276,212,4
8087,16,10,0,0,2,0,3,4,0,1,0,0,5,1354,1001,4
11966,16,10,0,0,2,0,3,4,0,1,0,0,5,1777,1320,4
7803,16,10,0,0,2,0,3,4,0,1,25,1,33,1339,987,4
9661,9,10,0,0,2,1,3,4,0,1,0,0,160,1507,1112,4
11582,6,6,0,0,2,0,3,4,0,1,17,1,53,1851,1377,4
201,5,6,0,0,2,0,3,4,0,1,34,1,50,87,79,4
9463,1,15,0,0,2,1,3,4,0,1,48,0,200,1443,1065,4
9502,19,18,0,0,2,1,3,2,0,4,4,3,17,1458,1078,4
1216,5,5,0,0,2,0,3,2,0,1,3,2,109,379,300,20
4667,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4
2874,0,7,0,0,2,0,3,4,0,1,3,2,3,424,330,1
10857,6,6,0,0,4,0,3,24,0,1,20,7,29,1664,1018,4
6384,6,6,0,0,4,0,3,17,0,1,20,7,29,730,509,4
1156,13,11,0,0,6,1,3,6,0,1,29,8,85,356,280,4
9829,14,14,0,0,2,1,3,2,0,1,29,8,154,1576,1162,17
7835,13,14,0,0,6,1,3,6,0,1,12,5,16,1349,996,8
9874,2,9,0,0,2,0,3,4,0,1,10,0,61,1587,96,4
9750,5,6,0,0,2,0,3,4,0,1,6,5,7,1544,1139,4
1185,16,4,0,0,2,0,3,2,0,1,1,0,112,367,290,8
5449,3,1,0,0,2,1,3,2,0,1,28,3,37,920,689,4
1155,13,11,0,0,6,1,3,6,0,1,29,8,85,356,280,4
1669,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4
11936,12,12,0,0,2,1,3,2,0,1,17,1,307,1938,1436,4
6755,3,11,0,0,2,1,3,4,0,1,48,0,114,1150,854,4
3150,9,4,0,0,2,0,3,2,0,1,19,5,26,506,394,4
1043,0,7,0,0,2,0,3,4,0,1,42,5,136,308,236,4
6575,0,7,0,0,2,0,3,2,0,1,28,3,37,1093,594,4
9407,10,14,0,0,2,1,3,4,0,1,26,8,43,1430,1057,4
4648,3,14,0,0,2,1,3,2,0,1,59,3,135,817,630,4
1118,13,14,0,0,3,1,3,3,0,1,3,2,3,344,270,1
9599,10,2,0,0,2,1,3,2,0,1,12,5,16,1482,1095,4
324,3,16,0,0,3,1,3,3,0,1,43,4,76,135,116,1
10120,13,11,0,0,2,1,3,4,0,1,10,0,280,1632,1207,4
9664,9,10,0,0,2,1,3,4,0,1,0,0,160,1507,1112,4
7042,6,5,0,0,4,0,3,17,0,1,20,7,29,1261,509,4
7288,13,14,0,0,2,1,3,2,0,1,18,5,220,1296,959,1
6447,16,10,0,0,2,1,3,4,0,1,4,3,4,1050,776,4
3852,3,9,0,0,2,0,3,4,0,1,29,8,40,688,527,4
11421,14,14,0,0,2,1,3,2,0,1,39,8,274,1803,1336,4
662,12,14,0,0,2,0,3,4,0,1,20,7,29,207,173,4
6879,16,10,0,0,2,0,3,4,0,1,48,0,185,1205,897,4
6818,13,11,0,0,2,1,3,2,0,1,11,3,18,1175,875,4
6944,3,2,0,0,2,1,3,2,0,1,35,4,208,1221,907,4
1089,6,10,0,0,4,1,3,17,0,1,20,7,29,330,258,4
4757,0,7,0,0,2,1,3,2,0,1,28,3,37,859,594,4
2928,6,5,0,0,2,1,3,4,0,1,0,0,120,435,295,4
5588,2,2,0,0,2,0,3,4,0,1,49,9,128,953,711,4
9571,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4
12032,16,10,0,0,2,0,3,4,3,0,0,0,5,1777,1320,4
7800,16,10,0,0,2,1,3,4,0,1,25,1,33,1339,987,4
6911,10,2,0,0,2,1,3,4,0,1,1,0,1,1213,901,4
11881,11,14,0,0,2,1,3,4,0,1,30,2,244,1918,1423,1
6341,6,10,0,0,2,0,3,4,0,1,8,2,155,1028,759,4
11210,2,1,0,0,2,0,3,2,0,1,35,4,187,1714,1271,4
4731,0,7,0,0,2,1,3,2,0,1,4,3,4,849,642,4
